aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
17.3505394,33.36419567,25.45056028,30.18081866,14.46958035,22.62115209,26.09087705,21.29679064,13.30404922,11.61453933,SARS-CoV-2_1_LEFT,SARS-CoV-2_68_LEFT
15.52747065,30.49248535,23.79495873,29.39204019,14.651287,22.88375944,27.91615626,22.31725786,14.1338148,11.65532399,SARS-CoV-2_1_LEFT,SARS-CoV-2_68_RIGHT
14.41415237,29.10774978,24.36869255,29.26845783,14.76580881,24.81904864,29.97000583,24.92884501,14.85271947,12.3308148,SARS-CoV-2_1_LEFT,SARS-CoV-2_69_LEFT
15.13358501,28.21552377,23.70733887,31.7633547,13.81301205,22.22602982,28.90232926,24.16008902,15.56328305,11.750214,SARS-CoV-2_1_LEFT,SARS-CoV-2_69_RIGHT
15.09981157,28.31615648,25.23907101,30.96220446,13.75630192,23.49771132,28.2027448,25.1526879,15.03040786,12.34151275,SARS-CoV-2_1_LEFT,SARS-CoV-2_70_LEFT
17.23815723,28.98804227,27.39607008,29.01010113,13.05613587,22.29447766,23.27476074,22.3063943,13.06458049,12.45278452,SARS-CoV-2_1_LEFT,SARS-CoV-2_70_RIGHT
18.35675258,36.07230813,26.73964919,26.17055239,15.03383228,23.52020293,23.09612967,19.33533349,11.6838965,11.87000615,SARS-CoV-2_1_LEFT,SARS-CoV-2_71_LEFT
15.46471364,28.66971303,27.00011099,28.94297821,13.69982817,24.47181829,25.99455851,24.65913166,13.82447898,12.94920778,SARS-CoV-2_1_LEFT,SARS-CoV-2_71_RIGHT
15.99143786,30.33198097,24.2775443,29.4266222,14.27012266,22.48651101,26.68416536,22.03394373,13.86820525,11.69464765,SARS-CoV-2_1_LEFT,SARS-CoV-2_72_LEFT
17.10917384,30.65573812,27.633837,30.75059957,13.52042603,23.18791084,25.18596437,23.23665233,13.555637,12.40798144,SARS-CoV-2_1_LEFT,SARS-CoV-2_72_RIGHT
15.52129689,29.63345224,26.58431405,31.83559834,13.89430999,24.36235028,28.50205559,25.70682154,14.86111422,12.58526141,SARS-CoV-2_1_LEFT,SARS-CoV-2_73_LEFT
